Model              BSRN            FDIWN           HNCT            LAPAR           SwinIR          CTHN            EDSR            
                   PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    PSRN    SSIM    
agricultural       35.4333 0.9071  35.1501 0.904   31.0211 0.8414  35.1295 0.9045  34.9058 0.8985  34.5005 0.8898  28.4173 0.7111  
golfcourse         38.7907 0.9345  38.7799 0.9344  35.0345 0.9074  38.7252 0.934   38.6764 0.9336  38.6175 0.9332  32.313  0.8502  
harbor             34.6741 0.9683  34.5622 0.9679  28.8687 0.9117  34.3165 0.9669  34.0477 0.9658  33.626  0.9641  25.1014 0.8471  
intersection       36.0874 0.9544  36.0687 0.9544  31.4832 0.9092  35.9301 0.9537  35.7699 0.9524  35.4557 0.95    28.2888 0.837   
mediumresidential  33.5799 0.9316  33.5621 0.9316  29.7581 0.8851  33.4312 0.9306  33.3024 0.9294  33.0839 0.9275  26.9854 0.798   
mobilehomepark     33.1392 0.9415  33.0199 0.9407  28.4436 0.8865  32.8517 0.9401  32.7126 0.9388  32.4623 0.9363  25.4767 0.8044  
overpass           34.8572 0.9319  34.8542 0.9319  29.7697 0.8758  34.6914 0.9311  34.4577 0.9293  34.1116 0.9265  27.1071 0.7938  
parkinglot         31.9022 0.9494  31.8052 0.9489  27.6803 0.901   31.6329 0.948   31.419  0.9467  31.1114 0.9448  24.2568 0.813   
river              33.8457 0.9043  33.8186 0.9041  31.6264 0.8736  33.7969 0.904   33.7497 0.9034  33.6885 0.9025  29.1415 0.785   
runway             37.4369 0.9461  37.5411 0.9465  32.9086 0.8988  37.3134 0.9452  37.2307 0.9444  37.0214 0.9425  29.7136 0.8298  
sparseresidential  35.213  0.9077  35.1925 0.9075  31.7651 0.8759  35.138  0.9071  35.071  0.9065  34.966  0.9055  29.0505 0.7913  
airplane           37.4357 0.9558  37.396  0.9558  32.2568 0.9124  37.2453 0.955   37.0731 0.9541  36.7867 0.9525  28.6838 0.8461  
storagetanks       36.4471 0.9508  36.4017 0.9506  31.3897 0.9024  36.2832 0.9501  36.0874 0.9487  35.8126 0.9466  28.3405 0.8339  
tenniscourt        37.5026 0.9574  37.4666 0.9573  32.5892 0.9077  37.3187 0.9565  37.1667 0.9555  36.9307 0.9536  29.5454 0.8381  
baseballdiamond    39.6581 0.9387  39.6427 0.9388  35.0928 0.9079  39.5868 0.9385  39.5107 0.9381  39.3857 0.9374  32.2931 0.8557  
beach              42.3622 0.971   42.3351 0.9709  37.3309 0.9436  42.238  0.97    42.1555 0.9695  42.0263 0.9687  33.8871 0.8931  
buildings          36.2335 0.9605  36.1173 0.9602  30.4301 0.9094  35.9419 0.9595  35.7138 0.9585  35.3037 0.9565  26.9357 0.8401  
chaparral          32.4488 0.9191  32.4548 0.919   30.4372 0.8928  32.3518 0.9175  32.2865 0.9164  32.1755 0.9148  27.4445 0.7883  
denseresidential   36.2007 0.9597  36.1818 0.9597  30.7843 0.9095  35.9516 0.9586  35.7531 0.9575  35.3942 0.9556  27.2172 0.8376  
forest             34.1953 0.9081  34.1583 0.9076  31.5105 0.8711  34.1043 0.9068  34.0628 0.9062  33.9932 0.9051  29.0993 0.763   
freeway            37.1428 0.943   37.1439 0.9434  32.3271 0.8992  36.9859 0.9423  36.8464 0.9411  36.5674 0.9388  29.0841 0.8226  
